Model,P1: With Tx Summarization,P1: Without Tx Summarization,Degradation
AAE,86.5,50.0,36.5
RF,83.0,49.8,33.2
ETs,90.3,50.0,40.3
XGB,86.6,50.0,36.6
nnPU,89.0,65.1,23.9
