hash,ensemble_score,pu,ae,aae,rf,et,xgb
0x3097830e9921e4063d334acb82f6a79374f76f0b1a8f857e89b89bc58df1f311,0.361901586953904,0.0343088103405248,1,1,0,0.148235660024453,0.00595219153910875
0x465a6780145f1efe3ab52f94c006065575712d2003d83d85481f3d110ed131d9,0.344787481679107,0.00668772375048024,1,1,0.00333213053989849,0.0784207274820233,0.0012713058385998
0x47ac3527d02e6b9631c77fad1cdee7bfa77a8a7bfd4880dccbda5146ace4088f,0.338316847928899,0.00158789850241831,1,1,0,0.039929366790356,0.000158569062477909
0x62bd3d31a7b75c098ccf28bc4d4af8c4a191b4b9e451fab4232258079e8b18c4,0.580704006734243,0.584599032516165,1,1,0.0816295616035263,0.360638539994405,0.0302708614617586
0x138daa4cbeaa3db42eefcec26e234fc2c89a4aa17d6b1870fc460b2856fd11a6,0.291069037509891,4.72548724962552E-05,0.965044021606445,0.780752301216126,0,0.000625782227784501,0.000159306509885937
0x1fe5a53405d00ce2f3e15b214c7486c69cbc5bf165cf9596e86f797f62e81914,0.418505933901872,0.158491839848356,1,1,0.0383288349919689,0.250744888637064,0.00200416194275022
0x71a908be0bef6174bccc3d493becdfd28395d78898e355d451cb52f7bac38617,0.344088872829257,0.00688061602184003,1,1,0.00166552959833938,0.0732211719608502,0.0012713058385998
0xa6f63fcb6bec8818864d96a5b1bb19e8bd85ee37b2cc916412e720988440b2aa,0.337810714931912,0.0112136947412893,1,1,0,0.00650068593268775,0.00015466423064936
0xc310a0affe2169d1f6feec1c63dbc7f7c62a887fa48795d327d4d2da2d6b111d,0.344527130741521,0.0124257746283947,1,1,0.00332424726996706,0.0588695214359011,0.00127308408264071
0xe3f0d14cfb6076cabdc9057001c3fafe28767a192e88005bc37bd7d385a1116a,0.735513528104595,0.979382020693065,1,1,0.191621579526462,0.462406721896946,0.0274473894387484
0x2bb955b94aa5e2cc0854e23b58268d89aab93e17cb8b11c61996d875f1cc64f9,0.333813392987324,0.000144931601470031,1,1,0,0.00373357228195945,0.000152169799548574
0x454c858e7f7b11706335225c72b1eaee13a215e8657a4ae699669d6f1cd18550,0.333342689687285,0.000131364197438232,1,0.999692022800446,0,0,0.000152169799548574
0x8222caee8d1e1188f7a99af8315486a828aaf3432b6528a8e45b9f1bb73653e3,0.333803486887179,0.000115011213737991,1,1,0,0.00373357228195945,0.000152776061440818
0x4b2a2d03b3dc136ef94ebe2f3bc36231b104172bcb598104730898f7d81a55db,0.26514215727208,5.60125458475137E-05,0.996445059776306,0.594194412231445,0,0,0.000152169799548574
0x787980ae064cba2430213ffe14bff6fd71193983055725dcf185341bab68811e,0.333494172170786,6.11593135647856E-05,1,1,0,0.0011119017968331,0.000152169799548574
0x6957ccca95ad6a7f2d698a2362f4881591ff18f18cbc5edb149ce490521639a6,0.333395521463879,0.000135841125120691,1,1,0,0,0.000152169799548574
0xa34d79cbe9aef1bf07692885b353d85912523dfc4662611d33dd09ff6c319c85,0.33338034251939,8.51401128297942E-05,1,1,0,0,0.000167662336025387
0xef7f6864a93f8d10dd8fafbe75b041db8c282159fe43632c26a29f176894678e,0.288107621058992,2.99205540282439E-05,0.728814721107483,0.999669313430786,0,0,0.000152776061440818
0x04b166e7b4ab5105a8e9c85f08f6346de1c66368687215b0e0b58d6e5002bc32,0.300045688142266,0.000849934543493901,1,0.798468589782715,0,0,0.000158504975843243
0x11d069cbe4490cc483b1ae2e77c9c79493213347b42a8dec2ded25724e2f1835,0.21352593771478,0.000447629368668122,0.273729979991913,1,0,0.0096251619827102,0.000170329949469306
0x40be81f859227aa952e70fe1f5e8c84feed6aa3c2a4d6bf38125cd6bc222560a,0.104984769573381,3.52610270816016E-05,0.305626690387726,0.324109554290772,0,0,0.000152776061440818
