hash,ensemble_score,ensemble_label,pu,ae,aae,rf,et,xgb
0x3097830e9921e4063d334acb82f6a79374f76f0b1a8f857e89b89bc58df1f311,0.3333587012346693,Benign Tx,8.663585322210565e-05,0.9999786066261944,0.9999999061789481,0.0,0.0,6.343446443679568e-07
0x465a6780145f1efe3ab52f94c006065575712d2003d83d85481f3d110ed131d9,0.33279100874949363,Benign Tx,3.662242306745611e-06,0.9967429580012238,0.999994529889102,0.0,0.0,1.86018303338642e-06
0x47ac3527d02e6b9631c77fad1cdee7bfa77a8a7bfd4880dccbda5146ace4088f,0.25449495646289794,Benign Tx,9.99999993922529e-09,0.9845314953777213,0.5424381254710866,0.0,0.0,1.7679715824669984e-07
0x62bd3d31a7b75c098ccf28bc4d4af8c4a191b4b9e451fab4232258079e8b18c4,0.32066011369121966,Benign Tx,0.0035602450370788574,1.0,0.9168390134075901,0.0,0.0,1.7679983557172818e-06
0x138daa4cbeaa3db42eefcec26e234fc2c89a4aa17d6b1870fc460b2856fd11a6,0.3311149397249064,Benign Tx,1.927864559547743e-06,0.9995252041508474,0.9824950323301128,0.004937135709077098,0.002060666007253558,5.174927082407521e-07
0x1fe5a53405d00ce2f3e15b214c7486c69cbc5bf165cf9596e86f797f62e81914,0.33338151404664873,Benign Tx,0.0002176815614802763,0.999853155297449,0.999999999999998,0.0,0.0,8.487892273478792e-07
0x71a908be0bef6174bccc3d493becdfd28395d78898e355d451cb52f7bac38617,0.3103964904111661,Benign Tx,2.8975830446142936e-06,0.974755657928585,0.8876172356091088,0.0,0.0,3.8064482055233384e-07
0xa6f63fcb6bec8818864d96a5b1bb19e8bd85ee37b2cc916412e720988440b2aa,0.3331871451899781,Benign Tx,4.978529887011973e-06,0.9995888629584049,0.999523638677439,0.0,0.0,6.18666376794863e-07
0xc310a0affe2169d1f6feec1c63dbc7f7c62a887fa48795d327d4d2da2d6b111d,0.3160051273511697,Benign Tx,2.7058300489102294e-08,0.9959792450928262,0.9000511901527897,0.0,0.0,4.121172025861597e-07
0xe3f0d14cfb6076cabdc9057001c3fafe28767a192e88005bc37bd7d385a1116a,0.6697441156443029,Malicious Tx,0.9984108209609985,1.0,1.0,0.011508055818549242,0.02093772351108408,1.8798586097545922e-05
0x2bb955b94aa5e2cc0854e23b58268d89aab93e17cb8b11c61996d875f1cc64f9,0.32000401510940374,Benign Tx,6.696006312267855e-05,0.9999999706041408,0.9198895756561112,0.0,0.0,9.364048878524045e-07
0x454c858e7f7b11706335225c72b1eaee13a215e8657a4ae699669d6f1cd18550,0.2603101976360114,Benign Tx,9.215328645950649e-06,0.9952232453816333,0.5666193818165058,0.0,0.0,1.9194095557395485e-07
0x8222caee8d1e1188f7a99af8315486a828aaf3432b6528a8e45b9f1bb73653e3,0.3195197240024506,Benign Tx,6.028458443552154e-08,0.9997651424397003,0.917352916052088,0.0,0.0,2.474306199928833e-07
0x4b2a2d03b3dc136ef94ebe2f3bc36231b104172bcb598104730898f7d81a55db,0.30464602586163064,Benign Tx,3.170486161252484e-05,0.9999881115329466,0.8261676486247422,0.0,0.0024850894632206764,3.884700845446787e-07
